Response,Gene,Diet
493,WT,LFD
172,WT,LFD
617,WT,LFD
534,WT,LFD
500.5,WT,LFD
127,WT,LFD
1224,WT,LFD
143,WT,LFD
852,WT,LFD
134,WT,LFD
547.5,WT,LFD
555,ADIPO,LFD
302,ADIPO,LFD
434,ADIPO,LFD
90,ADIPO,LFD
72,ADIPO,LFD
489,ADIPO,LFD
453,ADIPO,LFD
552.5,ADIPO,LFD
635.5,ADIPO,LFD
330.9,ADIPO,LFD
169.5,ADIPO,LFD
737.5,ADIPO,LFD
595.5,WT,HFD
418.5,WT,HFD
642,WT,HFD
743.5,WT,HFD
1351,WT,HFD
1180,WT,HFD
938.5,WT,HFD
670,WT,HFD
1319,WT,HFD
1007,WT,HFD
589,WT,HFD
481.5,WT,HFD
785,WT,HFD
1060,WT,HFD
435,WT,HFD
535.5,WT,HFD
1153,ADIPO,HFD
890.5,ADIPO,HFD
539,ADIPO,HFD
651.5,ADIPO,HFD
585,ADIPO,HFD
783.5,ADIPO,HFD
533.5,ADIPO,HFD
895,ADIPO,HFD
579,ADIPO,HFD
551,ADIPO,HFD
800,ADIPO,HFD
1026,ADIPO,HFD
308,ADIPO,HFD
1415,ADIPO,HFD
342.5,ADIPO,HFD
197.5,ADIPO,HFD
