# beats in 30 seconds,,,
first time,second time,sex (M/F),class
28,26,m,STAT_515_sp_2026
38,34,f,STAT_515_sp_2026
45,38,f,STAT_515_sp_2026
44,32,f,STAT_515_sp_2026
39,37,f,STAT_515_sp_2026
33,36,f,STAT_515_sp_2026
44,44,f,STAT_515_sp_2026
44,36,f,STAT_515_sp_2026
46,39,f,STAT_515_sp_2026
35,32,f,STAT_515_sp_2026
37,35,f,STAT_515_sp_2026
33,26,f,STAT_515_sp_2026
32,30,m,STAT_515_sp_2026
33,31,m,STAT_515_sp_2026
34,35,m,STAT_515_sp_2026
40,33,f,STAT_515_sp_2026
41,40,m,STAT_515_sp_2026
36,37,m,STAT_515_sp_2026
44,43,f,STAT_515_sp_2026
45,38,m,STAT_515_sp_2026
33,35,m,STAT_515_sp_2026
35,37,m,STAT_515_sp_2026
40,42,f,STAT_515_sp_2026
32,31,f,STAT_515_sp_2026
53,45,m,STAT_515_sp_2026
34,35,f,STAT_515_sp_2026
32,33,m,STAT_515_sp_2026
40,33,f,STAT_515_sp_2026
40,35,f,STAT_515_sp_2026
37,41,m,STAT_515_sp_2026
38,36,m,STAT_515_sp_2026
36,37,m,STAT_515_sp_2026
35,38,f,STAT_516_sp_2026
36,33,f,STAT_516_sp_2026
36,37,f,STAT_516_sp_2026
45,42,m,STAT_516_sp_2026
38,35,m,STAT_516_sp_2026
30,28,m,STAT_516_sp_2026
33,30,f,STAT_516_sp_2026
32,31,m,STAT_516_sp_2026
35,33,f,STAT_516_sp_2026
42,42,m,STAT_516_sp_2026
33,35,f,STAT_516_sp_2026
44,42,f,STAT_516_sp_2026
40,38,f,STAT_516_sp_2026
29,19,f,STAT_516_sp_2026
35,32,f,STAT_516_sp_2026
29,29,m,STAT_516_sp_2026
30,32,m,STAT_516_sp_2026
34,36,m,STAT_516_sp_2026
32,33,m,STAT_516_sp_2026
28,35,f,STAT_516_sp_2026
34,34,f,STAT_516_sp_2026
36,38,f,STAT_516_sp_2026
