"FirstQwirkle","Won"
"Jane","Jane"
"Jane","Rick"
"Rick","Rick"
"Rick","Jane"
"Jane","Jane"
"Rick","Jane"
"Jane","Rick"
"Jane","Rick"
"Jane","Rick"
"Rick","Rick"
"Jane","Jane"
"Jane","Jane"
"Jane","Jane"
"Rick","Jane"
"Rick","Rick"
"Rick","Rick"
"Jane","Jane"
"Rick","Rick"
"Jane","Jane"
"Rick","Jane"
"Rick","Rick"
"Jane","Rick"
"Jane","Rick"
"Jane","Jane"
"Rick","Rick"
"Jane","Rick"
"Rick","Jane"
"Rick","Rick"
"Jane","Jane"
"Rick","Rick"
"Rick","Rick"
"Jane","Jane"
"Jane","Rick"
"Rick","Jane"
"Jane","Jane"
"Jane","Rick"
"Rick","Jane"
"Jane","Jane"
"Rick","Rick"
"Rick","Rick"
"Rick","Jane"
"Rick","Rick"
"Jane","Jane"
"Rick","Jane"
"Jane","Rick"
"Jane","Jane"
"Jane","Rick"
"Jane","Rick"
"Rick","Rick"
"Jane","Rick"
"Jane","Rick"
"Rick","Rick"
"Jane","Jane"
"Rick","Rick"
"Jane","Jane"
"Jane","Rick"
"Jane","Jane"
"Jane","Rick"
"Jane","Jane"
"Rick","Jane"
"Jane","Jane"
"Jane","Jane"
"Jane","Jane"
"Jane","Jane"
"Rick","Jane"
"Jane","Jane"
"Jane","Rick"
"Jane","Rick"
