"gender","age","hrs"
"M",28,2.145
"M",30,2.15888888888889
"M",27,2.16361111111111
"M",20,2.16833333333333
"M",30,2.17888888888889
"M",22,2.20055555555556
"M",26,2.2125
"M",34,2.21666666666667
"M",32,2.21777777777778
"M",40,2.24777777777778
"M",33,2.27138888888889
"M",36,2.2725
"M",31,2.27527777777778
"M",25,2.28472222222222
"M",28,2.31333333333333
"M",27,2.32277777777778
"M",31,2.33194444444444
"M",28,2.34861111111111
"M",42,2.36666666666667
"M",31,2.37083333333333
"M",28,2.39333333333333
"M",33,2.3975
"M",30,2.39833333333333
"M",41,2.40527777777778
"M",22,2.40638888888889
"M",43,2.41083333333333
"M",24,2.41277777777778
"M",32,2.42583333333333
"M",25,2.42666666666667
"M",24,2.43
"M",27,2.43638888888889
"M",33,2.44083333333333
"M",33,2.44916666666667
"M",25,2.45277777777778
"M",32,2.45361111111111
"M",30,2.46222222222222
"M",40,2.46388888888889
"M",23,2.46888888888889
"M",30,2.48055555555556
"M",27,2.48222222222222
"M",40,2.4825
"M",37,2.48472222222222
"M",25,2.485
"M",23,2.48555555555556
"M",33,2.49111111111111
"M",25,2.49111111111111
"M",29,2.49388888888889
"M",27,2.50222222222222
"M",27,2.5025
"M",28,2.50361111111111
"M",31,2.50638888888889
"M",30,2.50722222222222
"M",31,2.50805555555556
"M",35,2.51388888888889
"M",40,2.51555555555556
"M",39,2.5175
"M",31,2.51972222222222
"M",45,2.52416666666667
"M",37,2.52472222222222
"M",28,2.52833333333333
"M",41,2.52916666666667
"M",33,2.53166666666667
"M",29,2.53527777777778
"M",32,2.53611111111111
"F",32,2.53777777777778
"F",23,2.53805555555556
"F",30,2.54027777777778
"M",23,2.54166666666667
"M",25,2.54222222222222
"M",32,2.54305555555556
"M",29,2.54861111111111
"M",27,2.54888888888889
"M",30,2.55055555555556
"F",26,2.55222222222222
"M",30,2.55388888888889
"M",26,2.55527777777778
"F",32,2.55666666666667
"M",38,2.55722222222222
"M",27,2.5575
"M",29,2.55805555555556
"M",21,2.55972222222222
"M",32,2.56
"M",31,2.56055555555556
"M",24,2.56194444444444
"M",29,2.56444444444444
"M",30,2.56555555555556
"M",28,2.56694444444444
"M",24,2.57
"M",28,2.57111111111111
"M",27,2.57111111111111
"F",35,2.57222222222222
"M",27,2.57305555555556
"M",30,2.57472222222222
"M",20,2.57472222222222
"M",32,2.57583333333333
"M",31,2.5775
"M",26,2.57916666666667
"M",25,2.58055555555556
"M",24,2.58111111111111
"M",29,2.5825
"M",22,2.58694444444444
"M",38,2.58861111111111
"M",24,2.58916666666667
"M",24,2.59194444444444
"F",21,2.59277777777778
"F",45,2.59361111111111
"M",34,2.59472222222222
"M",26,2.59527777777778
"M",32,2.59583333333333
"M",30,2.59694444444444
"M",28,2.60083333333333
"M",31,2.60166666666667
"M",31,2.60333333333333
"M",43,2.60388888888889
"M",26,2.60527777777778
"F",26,2.60694444444444
"M",25,2.60722222222222
"M",22,2.60944444444444
"M",29,2.61166666666667
"M",23,2.6125
"M",40,2.61277777777778
"M",24,2.61361111111111
"F",40,2.61388888888889
"M",25,2.61444444444444
"M",33,2.61527777777778
"M",25,2.61694444444444
"M",42,2.61777777777778
"F",37,2.61777777777778
"M",22,2.61944444444444
"M",35,2.62
"M",34,2.62111111111111
"M",44,2.62416666666667
"M",29,2.62555555555556
"M",30,2.62805555555556
"M",28,2.62861111111111
"M",26,2.62916666666667
"M",33,2.62972222222222
"M",40,2.62972222222222
"M",41,2.63222222222222
"M",25,2.63222222222222
"M",43,2.63222222222222
"M",28,2.63305555555556
"M",24,2.63333333333333
"M",31,2.63472222222222
"M",21,2.63555555555556
"M",26,2.63583333333333
"M",44,2.63583333333333
"M",27,2.63666666666667
"M",35,2.63833333333333
"M",31,2.63972222222222
"M",28,2.64
"M",22,2.64
"M",26,2.64
"M",24,2.64083333333333
"M",29,2.64472222222222
"M",29,2.64527777777778
"M",25,2.64611111111111
"F",37,2.64722222222222
"M",29,2.65083333333333
"M",34,2.65111111111111
"M",47,2.65194444444444
"M",29,2.65305555555556
"M",31,2.65388888888889
"M",36,2.65527777777778
"M",34,2.65666666666667
"M",25,2.65694444444444
"M",28,2.65694444444444
"M",37,2.6575
"M",33,2.6575
"M",31,2.66194444444444
"M",37,2.66194444444444
"M",26,2.66222222222222
"M",35,2.66416666666667
"M",42,2.66472222222222
"M",33,2.66472222222222
"M",25,2.66472222222222
"M",25,2.66527777777778
"M",26,2.66777777777778
"M",28,2.66777777777778
"M",33,2.66777777777778
"M",27,2.66944444444444
"M",32,2.67
"M",35,2.67027777777778
"M",40,2.67555555555556
"M",33,2.67583333333333
"M",35,2.67611111111111
