  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------
  
2004 001    3.61    4.34    4.12    3.70    4.51    2.62
2004 002    3.50    4.21    3.94    3.71    4.51    2.57
2004 003    3.48    4.15    3.91    3.72    4.51    2.52
2004 004    3.49    4.09    3.89    3.73    4.49    2.49
2004 005    3.53    3.98    3.88    3.75    4.46    2.56
2004 006    3.26    3.50    3.36    3.21    4.20    0.20
2004 007    3.18    3.41    3.14    3.14    4.10    0.20
2004 008    3.14    3.36    3.13    3.09    3.86    0.20
2004 009    2.92    3.29    2.96    2.75    3.56    0.20
2004 010    3.00    3.31    2.99    2.81    3.50    0.20
2004 011    3.11    3.22    3.03    3.35    3.39    0.20
2004 012    3.23    3.25    3.10    3.75    3.25    0.20
2004 013    3.21    3.02    2.67    3.10    2.94    0.20
2004 014    3.26    3.01    2.88    3.12    3.02    0.20
2004 015    3.55    3.03    3.22    3.34    3.18    0.20
2004 016    3.06    2.59    2.31    1.68    2.88    0.20
2004 017    3.15    2.59    2.36    1.70    2.88    0.20
2004 018    3.24    2.58    2.41    1.73    2.85    0.20
2004 019    3.33    2.55    2.54    1.83    2.86    0.20
2004 020    3.27    2.33    2.50    0.21    2.73    0.20
2004 021    3.24    2.28    2.46    0.21    2.71    0.20
2004 022    3.58    2.38    3.37    0.22    3.15    0.27
2004 023    2.33    1.51    1.47    0.20    1.59    0.20
2004 024    2.25    1.49    1.46    0.20    1.55    0.20
2004 025    2.09    1.34    1.45    0.20    1.51    0.20
2004 026    1.92    1.32    1.44    0.20    1.46    0.20
2004 027    1.68    1.28    1.34    0.20    1.07    0.20
2004 028    1.57    1.25    1.33    0.20    1.04    0.20
2004 029    1.71    1.56    1.64    0.20    1.26    0.20
2004 030    0.85    1.03    0.90    0.20    0.97    0.20
2004 031    0.78    1.01    0.86    0.20    0.97    0.20
2004 032    0.72    1.00    0.87    0.20    0.97    0.20
2004 033    0.68    1.00    0.86    0.20    1.18    0.20
2004 034    0.62    0.97    0.70    0.20    1.13    0.20
2004 035    0.60    0.97    0.64    0.20    1.09    0.20
2004 036    0.79    1.25    0.85    0.20    1.64    0.20
2004 037    0.64    0.86    0.57    0.20    1.46    0.20
2004 038    0.62    0.85    0.56    0.20    1.44    0.20
2004 039    0.62    0.84    0.55    0.20    1.42    0.20
2004 040    0.58    0.87    0.62    0.20    1.50    0.20
2004 041    0.50    0.88    0.49    0.20    1.49    0.20
2004 042    0.49    0.89    0.50    0.20    1.49    0.20
2004 043    0.56    1.39    0.64    0.20    1.62    0.20
2004 044    0.48    0.95    0.53    0.20    1.28    0.20
2004 045    0.48    0.93    0.53    0.20    1.26    0.20
2004 046    0.48    0.87    0.50    0.20    1.24    0.20
2004 047    0.51    0.86    0.50    0.20    1.22    0.20
2004 048    0.44    0.87    0.41    0.20    1.16    0.20
2004 049    0.45    0.90    0.40    0.20    1.15    0.20
2004 050    0.49    1.26    0.44    0.20    1.45    0.20
2004 051    0.48    1.14    0.35    0.20    1.45    0.20
