  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------

2018 001    2.47    3.11    2.24    1.28    3.29    0.21
2018 002    2.37    2.98    2.11    1.23    2.98    0.21
2018 003    2.24    2.90    1.96    0.99    2.79    0.21
2018 004    2.19    2.87    2.02    0.61    3.03    0.21
2018 005    2.03    2.65    1.81    0.41    2.82    0.21
2018 006    1.94    2.56    1.72    0.20    2.69    0.21
2018 007    1.78    2.67    1.72    0.20    2.35    0.21
2018 008    1.86    2.66    1.67    0.36    2.58    0.21
2018 009    1.90    2.72    1.69    0.37    2.64    0.21
2018 010    1.89    2.66    1.77    0.39    2.67    0.21
2018 011    1.86    2.70    1.66    0.20    2.66    0.21
2018 012    1.82    2.65    1.59    0.49    2.67    0.21
2018 013    1.74    2.47    1.47    0.29    2.59    0.21
2018 014    1.66    2.34    1.41    0.24    2.38    0.21
2018 015    1.61    2.39    1.36    0.22    2.26    0.21
2018 016    1.56    2.33    1.24    0.21    2.18    0.21
2018 017    1.69    2.33    1.24    0.23    2.28    0.21
2018 018    1.75    2.45    1.33    0.25    2.42    0.21
2018 019    1.72    2.39    1.23    0.20    2.56    0.21
2018 020    1.68    2.43    1.26    0.20    2.61    0.21
2018 021    1.65    2.45    1.32    0.20    2.55    0.21
2018 022    1.59    2.44    1.29    0.21    2.52    0.21
2018 023    1.53    2.40    1.25    0.21    2.48    0.21
2018 024    1.51    2.37    1.09    0.20    2.43    0.21
2018 025    1.47    2.36    1.11    0.20    2.39    0.31
2018 026    1.36    2.45    1.22    0.43    2.33    0.21
2018 027    1.38    2.42    1.26    0.45    2.40    0.21
2018 028    1.40    2.38    1.32    0.46    2.49    0.21
2018 029    1.35    2.34    1.24    0.41    2.41    0.21
2018 030    1.28    2.28    1.11    0.37    2.34    0.21
2018 031    1.19    2.24    1.14    0.21    2.34    0.21
2018 032    1.20    2.20    1.15    0.37    2.36    0.33
2018 033    1.12    2.08    1.01    0.41    2.29    0.21
2018 034    0.88    2.03    0.97    0.43    2.27    0.21
2018 035    0.76    1.86    0.89    0.20    2.22    0.21
2018 036    0.62    1.66    0.68    0.20    2.14    0.21
2018 037    0.50    1.58    0.74    0.20    2.06    0.21
2018 038    0.48    1.42    0.42    0.20    1.99    0.21
2018 039    0.44    1.35    0.53    0.20    1.87    0.21
2018 040    0.41    1.26    0.53    0.20    1.83    0.21
2018 041    0.35    1.25    0.49    0.20    1.86    0.21
2018 042    0.29    1.11    0.39    0.20    1.90    0.23
2018 043    0.32    1.35    0.38    0.20    1.89    0.21
2018 044    0.35    1.41    0.39    0.20    1.71    0.21
2018 045    0.32    1.58    0.48    0.20    1.87    0.21
2018 046    0.30    1.56    0.45    0.20    2.02    0.21
2018 047    0.30    1.57    0.44    0.20    2.02    0.21
2018 048    0.39    1.61    0.48    0.20    2.01    0.21
2018 049    0.39    1.65    0.62    0.20    2.05    0.21
2018 050    0.38    1.61    0.55    0.38    2.10    0.21
2018 051    0.30    1.73    0.49    0.40    2.14    0.21
