  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------

2024 001    4.45    5.63    5.04    5.61    5.64    5.62
2024 002    4.41    5.51    4.92    5.51    5.58    5.45
2024 003    4.37    5.47    4.81    5.34    5.52    5.22
2024 004    4.33    5.43    4.74    5.25    5.47    5.07
2024 005    4.28    5.40    4.63    5.17    5.41    4.98
2024 006    4.23    5.35    4.57    5.12    5.33    4.84
2024 007    4.21    5.32    4.50    5.03    5.19    4.70
2024 008    4.13    5.27    4.36    4.90    5.10    4.54
2024 009    4.00    5.16    4.24    4.68    5.06    4.36
2024 010    3.78    4.71    4.11    4.41    5.05    4.10
2024 011    3.61    4.37    3.81    4.20    4.97    3.90
2024 012    3.50    4.26    3.60    4.00    4.88    3.78
2024 013    3.21    4.10    3.48    3.93    4.79    3.74
2024 014    3.07    3.97    3.13    3.76    4.60    2.90
2024 015    2.94    3.82    3.11    3.36    4.48    0.20
2024 016    2.84    3.69    3.05    3.02    4.27    0.20
2024 017    2.76    3.62    2.86    2.65    4.17    0.20
2024 018    2.69    3.55    2.79    2.49    4.05    0.20
2024 019    2.57    3.29    2.63    2.06    3.87    0.20
2024 020    2.57    3.24    2.47    1.91    3.78    0.20
2024 021    2.53    3.26    2.59    1.87    3.80    0.26
2024 022    2.48    3.25    2.49    1.58    3.58    0.20
2024 023    2.61    3.37    2.54    1.57    3.77    0.20
2024 024    2.66    3.39    2.52    1.42    3.75    0.21
2024 025    2.76    3.40    2.52    1.46    3.81    0.27
2024 026    2.79    3.47    2.51    1.51    3.85    0.40
2024 027    2.81    3.49    2.47    1.55    3.83    0.20
2024 028    2.82    3.56    2.35    1.62    3.80    0.20
2024 029    2.84    3.56    2.48    1.83    3.78    0.84
2024 030    2.89    3.61    2.53    1.84    3.73    0.94
2024 031    2.96    3.62    2.57    1.81    3.74    0.56
2024 032    3.00    3.63    2.56    1.78    3.74    0.20
2024 033    2.94    3.65    2.58    1.92    3.72    0.20
2024 034    2.94    3.62    2.53    1.99    3.68    1.17
2024 035    2.96    3.62    2.60    2.01    3.65    1.42
2024 036    2.93    3.60    2.66    2.05    3.79    1.83
2024 037    2.88    3.54    2.64    2.16    3.82    1.85
2024 038    2.83    3.49    2.69    2.22    3.77    1.51
2024 039    2.83    3.48    2.75    2.23    3.82    1.76
2024 040    2.82    3.49    2.77    2.24    3.90    0.50
2024 041    2.77    3.51    2.80    2.26    3.93    1.85
2024 042    2.67    3.47    2.76    2.29    3.89    2.67
2024 043    2.57    3.47    2.70    2.25    3.78    3.11
2024 044    2.48    3.44    2.63    2.24    3.71    3.28
2024 045    2.35    3.38    2.53    2.22    3.68    3.26
2024 046    2.36    3.33    2.51    2.16    3.65    3.12
2024 047    2.34    3.28    2.46    2.13    3.61    2.89
2024 048    2.35    3.23    2.38    2.04    3.55    2.58
2024 049    2.35    3.24    2.31    1.94    3.50    1.37
2024 050    2.07    3.22    2.03    1.85    3.40    0.58
2024 051    2.27    3.34    2.09    2.00    3.40    0.54
