B,A,class
6.1,3.2,515_sp_2024
5.5,3.0,515_sp_2024
5.2,2.7,515_sp_2024
5.0,4.0,515_sp_2024
5.9,3.5,515_sp_2024
5.2,3.3,515_sp_2024
6.1,3.3,515_sp_2024
5.4,3.1,515_sp_2024
5.9,3.6,515_sp_2024
5.0,3.9,515_sp_2024
6.2,3.7,515_sp_2024
6.0,3.6,515_sp_2024
5.6,3.2,515_sp_2024
5.0,3.0,515_sp_2024
5.7,3.3,515_sp_2024
5.5,3.2,515_sp_2024
5.2,3.5,515_sp_2024
6.2,3.8,515_sp_2024
5.5,3.2,515_sp_2024
6.0,4.0,515_sp_2024
5.9,3.1,515_sp_2024
51,29,515_sp_2026
51,32,515_sp_2026
48,29,515_sp_2026
49,31,515_sp_2026
53,33,515_sp_2026
57,33,515_sp_2026
53,34,515_sp_2026
48,27,515_sp_2026
53,35,515_sp_2026
44,24,515_sp_2026
47,30,515_sp_2026
52,33,515_sp_2026
47,29,515_sp_2026
51,31,515_sp_2026
46,28,515_sp_2026
51,35,515_sp_2026
55,32,515_sp_2026
47,30,515_sp_2026
33,19,515_sp_2026
59,35,515_sp_2026
46,27,515_sp_2026
54,34,515_sp_2026
58,36,515_sp_2026
42,27,515_sp_2026
52,32,515_sp_2026
5.3,3.2,515_fa_2023
5.3,3.3,515_fa_2023
5.5,3.4,515_fa_2023
5.4,3.2,515_fa_2023
6,3.8,515_fa_2023
5,3.5,515_fa_2023
5.3,3.2,515_fa_2023
4.9,2.9,515_fa_2023
4.9,3.1,515_fa_2023
4.2,3.5,515_fa_2023
4.7,3.1,515_fa_2023
4,2.5,515_fa_2023
4.8,3.1,515_fa_2023
4.5,2.7,515_fa_2023
5.5,3.1,515_fa_2023
3.3,2.2,515_fa_2023
4.1,2.5,515_fa_2023
5.4,3.5,515_fa_2023
4.2,3.0,515_fa_2023
4.5,3.3,515_fa_2023
5.4,3.6,515_fa_2023
4.9,3.5,515_fa_2023
4.6,3.4,515_fa_2023
4.6,3.1,515_fa_2023
4.1,2.5,515_fa_2023
6.7,3.5,515_fa_2023
4.6,2.7,515_fa_2023
45,31,516_sp_2026
53,32,516_sp_2026
43,27,516_sp_2026
52,31,516_sp_2026
51,29,516_sp_2026
44,33,516_sp_2026
50,31,516_sp_2026
54,34,516_sp_2026
57,33,516_sp_2026
60,35,516_sp_2026
45,29,516_sp_2026
54,34,516_sp_2026
44,45,516_sp_2026
37,22,516_sp_2026
60,38,516_sp_2026
28,23,516_sp_2026
35,27,516_sp_2026
41,25,516_sp_2026
50,35,516_sp_2026
