ft,in,length index (mm),length pinky (mm),shoe size,shoe size M/W,class
5,4,75,65,8,w,STAT_516_sp_2026
5,4,70,56,7,w,STAT_516_sp_2026
5,8,70,52,10,w,STAT_516_sp_2026
5,5,68,62,7.5,w,STAT_516_sp_2026
5,6,71,55,9.5,m,STAT_516_sp_2026
6,4,78,65,13,m,STAT_516_sp_2026
5,8,80,65,11.5,m,STAT_516_sp_2026
5,10,73,64,10.5,m,STAT_516_sp_2026
6,1,68,56,10.5,m,STAT_516_sp_2026
5,5,67,64,7.5,w,STAT_516_sp_2026
5,9,75,60,11.5,m,STAT_516_sp_2026
5,7,75,62,9.5,w,STAT_516_sp_2026
5,8,74,60,8,m,STAT_516_sp_2026
6,8,88,71,15,m,STAT_516_sp_2026
5,6,80,64,9,w,STAT_516_sp_2026
5,6.5,70,60,7,uk,STAT_516_sp_2026
5,2,70,55,6,w,STAT_516_sp_2026
5,11,74,64,13,w,STAT_516_sp_2026
5,3,70,62,7,w,STAT_516_sp_2026
6,2,81,72,11.5,m,STAT_516_sp_2026
6,2,77,67,15,m,STAT_516_sp_2026
5,11,78,63,9.5,m,STAT_516_sp_2026
5,3,60,51,7,w,STAT_516_sp_2026
6,4,80,67,12,m,STAT_516_sp_2026
5,6,72,56,8,m,STAT_515_sp_2026
5,7,66,56,9,m,STAT_515_sp_2026
5,7,72,56,10.5,m,STAT_515_sp_2026
6,1,77,61,11,m,STAT_515_sp_2026
5,10,74,58,10.5,m,STAT_515_sp_2026
5,5,68,62,7.5,w,STAT_515_sp_2026
5,1,69,52,7,w,STAT_515_sp_2026
5,11,67,60,9.5,m,STAT_515_sp_2026
5,4,71,54,9,w,STAT_515_sp_2026
5,5,66,51,9.5,w,STAT_515_sp_2026
6,1,74,57,11.5,m,STAT_515_sp_2026
5,2,66,51,8.5,w,STAT_515_sp_2026
5,11,66,54,9,m,STAT_515_sp_2026
5,8,70,56,11,w,STAT_515_sp_2026
5,4,63,46,7.5,w,STAT_515_sp_2026
5,7,64,47,8,w,STAT_515_sp_2026
5,7,74,61,11,w,STAT_515_sp_2026
5,6,75,61,9,w,STAT_515_sp_2026
5,1,64,50,8,w,STAT_515_sp_2026
5,4,64,56,8,w,STAT_515_sp_2026
5,2,64,51,7.5,w,STAT_515_sp_2026
5,2,60,50,7,w,STAT_515_sp_2026
