"ft" "in" "ind_mm" "pnk_mm" "shoe" "shoe_wm"
"1" 5 4 75 65 8 "w"
"2" 5 4 70 56 7 "w"
"3" 5 8 70 52 10 "w"
"4" 5 5 68 62 7.5 "w"
"5" 5 6 71 55 9.5 "m"
"6" 6 4 78 65 13 "m"
"7" 5 8 80 65 11.5 "m"
"8" 5 10 73 64 10.5 "m"
"9" 6 1 68 56 10.5 "m"
"10" 5 5 67 64 7.5 "w"
"11" 5 9 75 60 11.5 "m"
"12" 5 7 75 62 9.5 "w"
"13" 5 8 74 60 8 "m"
"14" 6 8 88 72 15 "m"
"15" 5 6 80 64 9 "w"
"16" 5 6.5 70 60 7 "uk"
"17" 5 2 70 55 6 "w"
"18" 5 11 74 64 13 "w"
"19" 5 3 70 62 7 "w"
"20" 6 2 81 72 11.5 "m"
"21" 6 2 77 67 15 "m"
"22" 5 11 78 63 9.5 "m"
"23" 5 3 60 51 7 "w"
"24" 6 4 80 67 12 "m"
