"price","nbath","nbed","sqft","city","pets"
1199,2,3,1200,"Columbia","yes"
1199,2,3,1450,"Columbia","yes"
1299,2,3,1950,"Columbia","yes"
1175,2,3,1312,"Columbia","yes"
1349,2,4,2015,"Columbia","yes"
1225,2,3,1336,"Columbia","yes"
980,1,1,886,"Columbia","no"
1537,1,1,748,"Charleston","yes"
1200,3,3,1338,"Columbia","yes"
719,1,1,750,"Columbia","yes"
909,1.5,2,1000,"Greenville","yes"
1055,1,1,870,"Columbia","yes"
625,1,1,655,"Columbia","yes"
1499,2,4,2060,"Columbia","yes"
1199,2,3,1566,"Columbia","yes"
999,2.5,2,1200,"Greenville","yes"
1099,2,3,1221,"Columbia","yes"
1900,1,1,700,"Charleston","yes"
1499,2,5,2640,"Columbia","yes"
1899,2,5,2508,"Columbia","yes"
2900,2,3,1800,"Charleston","no"
1825,2.5,4,2150,"Columbia","yes"
1595,2,3,1800,"Rock Hill","yes"
1649,2,4,2088,"Columbia","yes"
1125,2,3,1120,"Columbia","yes"
1249,3,3,1344,"Columbia","yes"
685,1,1,250,"Columbia","no"
1350,1,1,995,"Greenville","no"
795,1,2,504,"Greenville","yes"
1600,1.5,2,1000,"Charleston","yes"
1950,1,2,1270,"Charleston","no"
675,1,1,607,"Columbia","yes"
595,1,1,531,"Greenville","no"
1450,1,2,950,"Charleston","no"
720,1.5,2,940,"Greenville","no"
1135,2,2,1067,"Greenville","yes"
865,2,2,1016,"Greenville","no"
1089,2,2,1167,"Rock Hill","yes"
1115,2,2,1225,"Greenville","no"
1150,2,2,1113,"Rock Hill","yes"
1240,1.5,3,1142,"Charleston","no"
1061,2,2,1025,"Charleston","yes"
1135,2,3,1292,"Charleston","no"
1902,2,2,1058,"Greenville","no"
930,1,1,738,"Charleston","no"
1250,1,1,722,"Charleston","no"
1099,1.5,2,1097,"Charleston","yes"
1040,2,2,1048,"Greenville","yes"
1029,1,1,810,"Greenville","no"
1209,2,2,1195,"Greenville","no"
1110,1,1,667,"Greenville","no"
1325,2,2,1105,"Charleston","yes"
635,2,2,1000,"Columbia","no"
759,2,2,824,"Columbia","yes"
830,1,1,825,"Columbia","no"
1178,2,2,900,"Charleston","yes"
1415,1,1,704,"Greenville","no"
1330,1,1,667,"Greenville","no"
1211,2,2,1113,"Rock Hill","yes"
1133,2,3,1261,"Rock Hill","yes"
1400,2,2,1024,"Rock Hill","no"
1475,2,2,1100,"Rock Hill","no"
950,2,2,900,"Charleston","yes"
905,1,1,826,"Charleston","yes"
920,1,1,742,"Charleston","no"
1140,1,1,769,"Charleston","no"
1213,1,1,847,"Greenville","yes"
860,1,1,749,"Greenville","yes"
1197,1,1,633,"Greenville","yes"
953,2,2,1114,"Columbia","yes"
880,1,1,697,"Charleston","yes"
1145,1,1,712,"Columbia","no"
925,1,1,450,"Greenville","no"
960,1,2,884,"Greenville","no"
899,1,1,600,"Rock Hill","no"
1309,2,3,1316,"Rock Hill","yes"
1350,2,2,1169,"Charleston","no"
1282,2,2,1097,"Charleston","no"
1099,1.5,2,1097,"Charleston","yes"
960,2,2,1024,"Columbia","no"
840,1,1,825,"Columbia","no"
1390,1.5,1,993,"Charleston","no"
1875,2,2,1165,"Columbia","yes"
1179,2,2,1025,"Charleston","no"
960,2,2,1003,"Rock Hill","yes"
1399,2,2,1210,"Charleston","no"
1400,2,2,1087,"Rock Hill","yes"
1089,2,2,1167,"Rock Hill","yes"
1152,1,1,941,"Charleston","no"
1140,1,1,769,"Charleston","no"
1295,2,2,1105,"Charleston","no"
919,1,1,550,"Charleston","yes"
1150,2,2,1067,"Greenville","yes"
788,1,1,771,"Columbia","no"
1390,2,3,1354,"Greenville","no"
1355,2,3,1146,"Greenville","yes"
1293,2,3,1182,"Rock Hill","yes"
1000,2,2,1040,"Rock Hill","yes"
953,1,1,425,"Charleston","yes"
1000,1,1,780,"Greenville","yes"
1165,2,3,1356,"Greenville","yes"
928,1,1,505,"Charleston","yes"
868,1,1,505,"Charleston","yes"
870,1,1,800,"Charleston","no"
1270,2,2,1076,"Charleston","no"
1085,1,2,800,"Charleston","yes"
930,1,1,738,"Charleston","yes"
1140,2,2,1025,"Greenville","no"
1233,2,2,1069,"Greenville","no"
1405,1,1,759,"Charleston","no"
1908,2,2,1099,"Charleston","no"
1399,2,2,1210,"Charleston","yes"
899,1,1,784,"Rock Hill","yes"
1058,2,2,1128,"Rock Hill","yes"
875,1,2,800,"Charleston","no"
1150,1.5,2,1008,"Charleston","yes"
1069,2,2,1177,"Greenville","yes"
1421,2,2,1071,"Greenville","yes"
955,1,1,756,"Columbia","yes"
1400,1,1,733,"Charleston","no"
987,1,1,275,"Columbia","yes"
1040,2,2,912,"Charleston","no"
1468,2,2,1176,"Charleston","yes"
1099,1.5,2,1097,"Charleston","yes"
955,1,1,738,"Charleston","no"
1325,1,3,581,"Charleston","no"
935,2,3,1080,"Rock Hill","yes"
965,2,2,1040,"Rock Hill","yes"
940,2,2,1040,"Rock Hill","yes"
2800,1,2,1000,"Charleston","no"
695,1,2,640,"Columbia","no"
1299,1,1,785,"Charleston","no"
1010,2,2,900,"Charleston","no"
1001,3,3,1241,"Columbia","no"
925,1,1,450,"Greenville","no"
1053,2,2,824,"Greenville","yes"
1616,1,1,770,"Greenville","no"
1417,2,2,1167,"Charleston","no"
975,1,1,787,"Rock Hill","no"
990,2,2,1057,"Rock Hill","yes"
840,2,2,1004,"Rock Hill","yes"
664,1,1,632,"Columbia","yes"
1415,2,2,1163,"Charleston","yes"
1058,2,2,900,"Charleston","yes"
825,1,1,800,"Charleston","no"
