a,b,c,F1,F2
1.5,1.5,1.7,threesided,litany
10.3,10.4,10.5,triangle,any
2.3,3.2,4,triangle,litany
7.3,7.5,6.5,triangle,a
1.3,2.8,2.5,triangle,any
9.4,9.2,9.7,triangle,a
8,11.5,8,threesided,litany
2.5,2.5,2.5,triangle,litany
2.6,2.7,2.7,threesided,a
7,6,7.5,threesided,any
5.9,9.5,7,triangle,litany
5.1,4.9,6.95,threesided,a
8,8.5,8,threesided,any
3.9,4.7,3.5,threesided,litany
2,3,3,threesided,a
1.2,1.2,1,threesided,any
9,9,11,threesided,a
3.8,8.4,7.6,threesided,any
6.6,6.8,4.2,threesided,litany
3.6,5.3,4.2,triangle,litany
7.8,13,5.5,triangle,any
3,3,3,triangle,a
4.1,3.3,5.7,triangle,a
3.5,5.3,3.9,triangle,any
